GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL AURA MIRIM II,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MIRIM IV,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MIRIM VI,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MIRIM VIII,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA QUEIMADA NOVA 01,0,10.859,11.333,11.823,12.595,13.438,13.45,13.763,13.607,13.627,13.607000000000001,13.587000000000002,13.567000000000002,13.547000000000002,13.527000000000003,13.507000000000003,13.487000000000004,13.467000000000004
EOL AURA QUEIMADA NOVA 02,0,10.859,11.333,11.823,12.595,13.438,13.45,13.763,13.607,13.627,13.607000000000001,13.587000000000002,13.567000000000002,13.547000000000002,13.527000000000003,13.507000000000003,13.487000000000004,13.467000000000004
EOL AURA QUEIMADA NOVA 03,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA TANQUE NOVO 01,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AURA TANQUE NOVO 02,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AURA TANQUE NOVO 03,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AVENTURA I,0,10.764,11.555,12.491,13.731,15.266,15.371,15.922,15.768,15.791,15.771,15.751000000000001,15.731000000000002,15.711000000000002,15.691000000000003,15.671000000000003,15.651000000000003,15.631000000000004
EOL AVENTURA II,0,10.764,11.555,12.491,13.731,15.266,15.371,15.922,15.768,15.791,15.771,15.751000000000001,15.731000000000002,15.711000000000002,15.691000000000003,15.671000000000003,15.651000000000003,15.631000000000004
EOL AVENTURA III,0,10.764,11.555,12.491,13.731,15.266,15.371,15.922,15.768,15.791,15.771,15.751000000000001,15.731000000000002,15.711000000000002,15.691000000000003,15.671000000000003,15.651000000000003,15.631000000000004
EOL AVENTURA IV,0,10.764,11.555,12.491,13.731,15.266,15.371,15.922,15.768,15.791,15.771,15.751000000000001,15.731000000000002,15.711000000000002,15.691000000000003,15.671000000000003,15.651000000000003,15.631000000000004
EOL AVENTURA V,0,10.764,11.555,12.491,13.731,15.266,15.371,15.922,15.768,15.791,15.771,15.751000000000001,15.731000000000002,15.711000000000002,15.691000000000003,15.671000000000003,15.651000000000003,15.631000000000004
EOL AW SANTA REGIA,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL AW SAO JOAO,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL B.VENTOS(VENTOS),0,10.135,10.996,12.137,13.249,14.968,15.047,15.542,15.393,15.415,15.395,15.375,15.355,15.335,15.315000000000001,15.295000000000002,15.275000000000002,15.255000000000003
EOL BAIXA DO FEIJAO I,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL BAIXA DO FEIJAO II,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL BAIXA DO FEIJAO III,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL BAIXA DO FEIJAO IV,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL BAIXA DO SITIO,0,10.986,11.816,12.935,14.105,13.287,13.32,13.74,13.564,13.584,13.564,13.544,13.524000000000001,13.504000000000001,13.484000000000002,13.464000000000002,13.444000000000003,13.424000000000003
EOL BANDA DE COURO,0,11.056,11.621,12.084,12.91,13.639,13.663,14.084,13.879,13.899,13.879,13.859,13.839,13.819,13.799000000000001,13.779000000000002,13.759000000000002,13.739000000000003
EOL BARAUNAS I,0,11.056,11.621,12.084,12.91,13.639,13.663,14.084,13.879,13.899,13.879,13.859,13.839,13.819,13.799000000000001,13.779000000000002,13.759000000000002,13.739000000000003
EOL BARAUNAS II,0,11.056,11.621,12.084,12.91,13.639,13.663,14.084,13.879,13.899,13.879,13.859,13.839,13.819,13.799000000000001,13.779000000000002,13.759000000000002,13.739000000000003
EOL BARAUNAS IV,0,10.86,11.285,11.735,12.508,13.287,13.32,13.74,13.564,13.584,13.564,13.544,13.524000000000001,13.504000000000001,13.484000000000002,13.464000000000002,13.444000000000003,13.424000000000003
EOL BARAUNAS XV,0,10.86,11.285,11.735,12.508,13.287,13.32,13.74,13.564,13.584,13.564,13.544,13.524000000000001,13.504000000000001,13.484000000000002,13.464000000000002,13.444000000000003,13.424000000000003
EOL BARAUNAS XX,0,10.86,11.285,11.735,12.508,13.287,13.32,13.74,13.564,13.584,13.564,13.544,13.524000000000001,13.504000000000001,13.484000000000002,13.464000000000002,13.444000000000003,13.424000000000003
EOL BARBATIMAO,0,10.165,10.516,10.112,10.357,10.878,10.867,11.234,10.938,10.953,10.933,10.913,10.893,10.873000000000001,10.853000000000002,10.833000000000002,10.813000000000002,10.793000000000003
