2024,2025,2026,2027,2028,2029,2030,2031
EOL SAO DOMINGOS IV,UFV CASCUDO 5,UFV CASCUDO 5,UFV ARAPUA 8,UFV ARAPUA 8,UFV ARAPUA 8,UFV ARAPUA 8,UFV ARAPUA 8
EOL SAO DOMINGOS V,UFV CASCUDO 6,UFV CASCUDO 6,UFV AURORA 54,UFV AURORA 54,UFV AURORA 54,UFV AURORA 54,UFV AURORA 54
EOL VENTOS DE SANTO ANTONIO 04,UFV CASCUDO 7,UFV CASCUDO 7,UFV AURORA 55,UFV AURORA 55,UFV AURORA 55,UFV AURORA 55,UFV AURORA 55
EOL VENTOS DE SANTO ANTONIO 05,UFV CASSILANDIA 7,UFV CASSILANDIA 7,UFV AURORA 56,UFV AURORA 56,UFV AURORA 56,UFV AURORA 56,UFV AURORA 56
EOL VENTOS DE SANTO ANTONIO 06,UFV CASSILANDIA 8,UFV CASSILANDIA 8,UFV AURORA 57,UFV AURORA 57,UFV AURORA 57,UFV AURORA 57,UFV AURORA 57
EOL VENTOS DE SANTO ANTONIO 07,UFV CHAPADAO 1,UFV CHAPADAO 1,UFV AURORA 58,UFV AURORA 58,UFV AURORA 58,UFV AURORA 58,UFV AURORA 58
EOL VENTOS DE SANTO ANTONIO 08,UFV CHAPADAO 2,UFV CHAPADAO 2,UFV AURORA 59,UFV AURORA 59,UFV AURORA 59,UFV AURORA 59,UFV AURORA 59
UFV MISSAGRA I,UFV CHAPADAO 3,UFV CHAPADAO 3,UFV AURORA 60,UFV AURORA 60,UFV AURORA 60,UFV AURORA 60,UFV AURORA 60
UFV MISSAGRA II,UFV CHAPADAO 4,UFV CHAPADAO 4,UFV AURORA 61,UFV AURORA 61,UFV AURORA 61,UFV AURORA 61,UFV AURORA 61
UFV MISSAGRA III,UFV CHAPADAO 5,UFV CHAPADAO 5,UFV AURORA 62,UFV AURORA 62,UFV AURORA 62,UFV AURORA 62,UFV AURORA 62
UFV ORQUIDEA I,UFV CHAPADAO 6,UFV CHAPADAO 6,UFV AURORA 63,UFV AURORA 63,UFV AURORA 63,UFV AURORA 63,UFV AURORA 63
UFV ORQUIDEA II,UFV CHAPADAO 7,UFV CHAPADAO 7,UFV AURORA 64,UFV AURORA 64,UFV AURORA 64,UFV AURORA 64,UFV AURORA 64
UFV ORQUIDEA III,UFV CHAPADAO 8,UFV CHAPADAO 8,UFV AURORA 65,UFV AURORA 65,UFV AURORA 65,UFV AURORA 65,UFV AURORA 65
UFV ORQUIDEA IV,UFV CHAPADAO 9,UFV CHAPADAO 9,UFV AURORA 66,UFV AURORA 66,UFV AURORA 66,UFV AURORA 66,UFV AURORA 66
UFV ORQUIDEA V,UFV CHAPADAO 10,UFV CHAPADAO 10,UFV AURORA 67,UFV AURORA 67,UFV AURORA 67,UFV AURORA 67,UFV AURORA 67
UFV ORQUIDEA VI,UFV CHAPADAO 11,UFV CHAPADAO 11,UFV AURORA 68,UFV AURORA 68,UFV AURORA 68,UFV AURORA 68,UFV AURORA 68
UFV TIMBAUBA I,UFV CHAPADAO 12,UFV CHAPADAO 12,UFV AURORA 69,UFV AURORA 69,UFV AURORA 69,UFV AURORA 69,UFV AURORA 69
UFV TIMBAUBA II,UFV CHAPADAO 13,UFV CHAPADAO 13,UFV AURORA 70,UFV AURORA 70,UFV AURORA 70,UFV AURORA 70,UFV AURORA 70
UFV TIMBAUBA III,UFV CHAPADAO 14,UFV CHAPADAO 14,UFV AVENTURA SOLAR,UFV AVENTURA SOLAR,UFV AVENTURA SOLAR,UFV AVENTURA SOLAR,UFV AVENTURA SOLAR
UFV TIMBAUBA IV,UFV CHAPADAO 15,UFV CHAPADAO 15,UFV BARRA DA ONCA I,UFV BARRA DA ONCA I,UFV BARRA DA ONCA I,UFV BARRA DA ONCA I,UFV BARRA DA ONCA I
UFV RIBEIRO GONCALVES V,UFV CHAPADAO 16,UFV CHAPADAO 16,UFV BARRA DA ONCA II,UFV BARRA DA ONCA II,UFV BARRA DA ONCA II,UFV BARRA DA ONCA II,UFV BARRA DA ONCA II
UFV PARANAIBA 1,UFV CHAPADAO 17,UFV CHAPADAO 17,UFV BARRA DA ONCA III,UFV BARRA DA ONCA III,UFV BARRA DA ONCA III,UFV BARRA DA ONCA III,UFV BARRA DA ONCA III
UFV PARANAIBA 2,UFV CHAPADAO 18,UFV CHAPADAO 18,UFV BARRA DA ONCA IV,UFV BARRA DA ONCA IV,UFV BARRA DA ONCA IV,UFV BARRA DA ONCA IV,UFV BARRA DA ONCA IV
UFV PARANAIBA 3,UFV CHAPADAO 19,UFV CHAPADAO 19,UFV BELO HORIZONTE 1,UFV BELO HORIZONTE 1,UFV BELO HORIZONTE 1,UFV BELO HORIZONTE 1,UFV BELO HORIZONTE 1
UFV PARANAIBA 4,EOL ITAUNA I,EOL ITAUNA I,UFV BELO HORIZONTE 2,UFV BELO HORIZONTE 2,UFV BELO HORIZONTE 2,UFV BELO HORIZONTE 2,UFV BELO HORIZONTE 2
UFV PARANAIBA 5,EOL ITAUNA II,EOL ITAUNA II,UFV BELO HORIZONTE 3,UFV BELO HORIZONTE 3,UFV BELO HORIZONTE 3,UFV BELO HORIZONTE 3,UFV BELO HORIZONTE 3
UFV PARANAIBA 6,EOL ITAUNA III,EOL ITAUNA III,UFV BELO HORIZONTE 4,UFV BELO HORIZONTE 4,UFV BELO HORIZONTE 4,UFV BELO HORIZONTE 4,UFV BELO HORIZONTE 4
UFV PARANAIBA 7,UFV MURION 1,UFV MURION 1,UFV BELO HORIZONTE 5,UFV BELO HORIZONTE 5,UFV BELO HORIZONTE 5,UFV BELO HORIZONTE 5,UFV BELO HORIZONTE 5
UFV PARANAIBA 8,UFV MURION 2,UFV MURION 2,UFV BOCA DO RIACHO 1,UFV BOCA DO RIACHO 1,UFV BOCA DO RIACHO 1,UFV BOCA DO RIACHO 1,UFV BOCA DO RIACHO 1
UFV PARANAIBA 9,UFV MURION 3,UFV MURION 3,UFV BOCA DO RIACHO 11,UFV BOCA DO RIACHO 11,UFV BOCA DO RIACHO 11,UFV BOCA DO RIACHO 11,UFV BOCA DO RIACHO 11
UFV PARANAIBA 10,UFV MURION 4,UFV MURION 4,UFV BOCA DO RIACHO 12,UFV BOCA DO RIACHO 12,UFV BOCA DO RIACHO 12,UFV BOCA DO RIACHO 12,UFV BOCA DO RIACHO 12
UFV PARANAIBA 11,UFV MURION 5,UFV MURION 5,UFV BOCA DO RIACHO 13,UFV BOCA DO RIACHO 13,UFV BOCA DO RIACHO 13,UFV BOCA DO RIACHO 13,UFV BOCA DO RIACHO 13
UFV AURORA 64,UFV MURION 6,UFV MURION 6,UFV BOCA DO RIACHO 14,UFV BOCA DO RIACHO 14,UFV BOCA DO RIACHO 14,UFV BOCA DO RIACHO 14,UFV BOCA DO RIACHO 14
UFV AURORA 65,UFV MURION 7,UFV MURION 7,UFV BOCA DO RIACHO 15,UFV BOCA DO RIACHO 15,UFV BOCA DO RIACHO 15,UFV BOCA DO RIACHO 15,UFV BOCA DO RIACHO 15
UFV AURORA 66,UFV MURION 8,UFV MURION 8,UFV BOCA DO RIACHO 16,UFV BOCA DO RIACHO 16,UFV BOCA DO RIACHO 16,UFV BOCA DO RIACHO 16,UFV BOCA DO RIACHO 16
UFV AURORA 67,EOL SAO DOMINGOS I,EOL SAO DOMINGOS I,UFV BOCA DO RIACHO 17,UFV BOCA DO RIACHO 17,UFV BOCA DO RIACHO 17,UFV BOCA DO RIACHO 17,UFV BOCA DO RIACHO 17
UFV AURORA 68,EOL SAO DOMINGOS II,EOL SAO DOMINGOS II,UFV BOCA DO RIACHO 18,UFV BOCA DO RIACHO 18,UFV BOCA DO RIACHO 18,UFV BOCA DO RIACHO 18,UFV BOCA DO RIACHO 18
UFV AURORA 69,EOL SAO DOMINGOS III,EOL SAO DOMINGOS III,UFV BOCA DO RIACHO 19,UFV BOCA DO RIACHO 19,UFV BOCA DO RIACHO 19,UFV BOCA DO RIACHO 19,UFV BOCA DO RIACHO 19
UFV AURORA 70,EOL SAO DOMINGOS IV,EOL SAO DOMINGOS IV,UFV BOCA DO RIACHO 2,UFV BOCA DO RIACHO 2,UFV BOCA DO RIACHO 2,UFV BOCA DO RIACHO 2,UFV BOCA DO RIACHO 2
UFV SOLAR IRECE 1,EOL SAO DOMINGOS V,EOL SAO DOMINGOS V,UFV BOCA DO RIACHO 3,UFV BOCA DO RIACHO 3,UFV BOCA DO RIACHO 3,UFV BOCA DO RIACHO 3,UFV BOCA DO RIACHO 3
UFV BELO HORIZONTE 1,EOL VENTOS DE SANTO ANTAO 01,EOL VENTOS DE SANTO ANTAO 01,UFV BOCA DO RIACHO 4,UFV BOCA DO RIACHO 4,UFV BOCA DO RIACHO 4,UFV BOCA DO RIACHO 4,UFV BOCA DO RIACHO 4
UFV BELO HORIZONTE 2,EOL VENTOS DE SANTO ANTAO 02,EOL VENTOS DE SANTO ANTAO 02,UFV BOCA DO RIACHO 5,UFV BOCA DO RIACHO 5,UFV BOCA DO RIACHO 5,UFV BOCA DO RIACHO 5,UFV BOCA DO RIACHO 5
UFV BELO HORIZONTE 3,EOL VENTOS DE SANTO ANTAO 03,EOL VENTOS DE SANTO ANTAO 03,UFV BOCA DO RIACHO 6,UFV BOCA DO RIACHO 6,UFV BOCA DO RIACHO 6,UFV BOCA DO RIACHO 6,UFV BOCA DO RIACHO 6
UFV BELO HORIZONTE 4,EOL VENTOS DE SANTO ANTAO 04,EOL VENTOS DE SANTO ANTAO 04,UFV BOCA DO RIACHO 7,UFV BOCA DO RIACHO 7,UFV BOCA DO RIACHO 7,UFV BOCA DO RIACHO 7,UFV BOCA DO RIACHO 7
UFV BELO HORIZONTE 5,EOL VENTOS DE SANTO ANTONIO 04,EOL VENTOS DE SANTO ANTONIO 04,UFV BOCA DO RIACHO 8,UFV BOCA DO RIACHO 8,UFV BOCA DO RIACHO 8,UFV BOCA DO RIACHO 8,UFV BOCA DO RIACHO 8
UFV BRX JANAUBA 1,EOL VENTOS DE SANTO ANTONIO 05,EOL VENTOS DE SANTO ANTONIO 05,UFV BOCA DO RIACHO 9,UFV BOCA DO RIACHO 9,UFV BOCA DO RIACHO 9,UFV BOCA DO RIACHO 9,UFV BOCA DO RIACHO 9
UFV BRX JANAUBA 2,EOL VENTOS DE SANTO ANTONIO 06,EOL VENTOS DE SANTO ANTONIO 06,UFV BRX JANAUBA 1,UFV BRX JANAUBA 1,UFV BRX JANAUBA 1,UFV BRX JANAUBA 1,UFV BRX JANAUBA 1
UFV BRX JANAUBA 3,EOL VENTOS DE SANTO ANTONIO 07,EOL VENTOS DE SANTO ANTONIO 07,UFV BRX JANAUBA 10,UFV BRX JANAUBA 10,UFV BRX JANAUBA 10,UFV BRX JANAUBA 10,UFV BRX JANAUBA 10
UFV BRX JANAUBA 4,EOL VENTOS DE SANTO ANTONIO 08,EOL VENTOS DE SANTO ANTONIO 08,UFV BRX JANAUBA 11,UFV BRX JANAUBA 11,UFV BRX JANAUBA 11,UFV BRX JANAUBA 11,UFV BRX JANAUBA 11
UFV BRX JANAUBA 5,UFV MISSAGRA I,UFV MISSAGRA I,UFV BRX JANAUBA 12,UFV BRX JANAUBA 12,UFV BRX JANAUBA 12,UFV BRX JANAUBA 12,UFV BRX JANAUBA 12
UFV BRX JANAUBA 6,UFV MISSAGRA II,UFV MISSAGRA II,UFV BRX JANAUBA 13,UFV BRX JANAUBA 13,UFV BRX JANAUBA 13,UFV BRX JANAUBA 13,UFV BRX JANAUBA 13
UFV BRX JANAUBA 7,UFV MISSAGRA III,UFV MISSAGRA III,UFV BRX JANAUBA 2,UFV BRX JANAUBA 2,UFV BRX JANAUBA 2,UFV BRX JANAUBA 2,UFV BRX JANAUBA 2
UFV BRX JANAUBA 8,UFV ORQUIDEA I,UFV ORQUIDEA I,UFV BRX JANAUBA 3,UFV BRX JANAUBA 3,UFV BRX JANAUBA 3,UFV BRX JANAUBA 3,UFV BRX JANAUBA 3
UFV BRX JANAUBA 9,UFV ORQUIDEA II,UFV ORQUIDEA II,UFV BRX JANAUBA 4,UFV BRX JANAUBA 4,UFV BRX JANAUBA 4,UFV BRX JANAUBA 4,UFV BRX JANAUBA 4
UFV BRX JANAUBA 10,UFV ORQUIDEA III,UFV ORQUIDEA III,UFV BRX JANAUBA 5,UFV BRX JANAUBA 5,UFV BRX JANAUBA 5,UFV BRX JANAUBA 5,UFV BRX JANAUBA 5
UFV BRX JANAUBA 11,UFV ORQUIDEA IV,UFV ORQUIDEA IV,UFV BRX JANAUBA 6,UFV BRX JANAUBA 6,UFV BRX JANAUBA 6,UFV BRX JANAUBA 6,UFV BRX JANAUBA 6
UFV BRX JANAUBA 12,UFV ORQUIDEA V,UFV ORQUIDEA V,UFV BRX JANAUBA 7,UFV BRX JANAUBA 7,UFV BRX JANAUBA 7,UFV BRX JANAUBA 7,UFV BRX JANAUBA 7
UFV BRX JANAUBA 13,UFV ORQUIDEA VI,UFV ORQUIDEA VI,UFV BRX JANAUBA 8,UFV BRX JANAUBA 8,UFV BRX JANAUBA 8,UFV BRX JANAUBA 8,UFV BRX JANAUBA 8
