USINA,SUBSISTEMA,CEG,2023,2024,2025,2026,2027,2028,2029,2030,2031,MUST,BUS_2023,BUS_2030
EOL VITORIA,,029075-0,-,-,-,-,-,-,-,-,-,4.5,-,57860
EOL VOLTA DO RIO(ELETROWIND),NE,028441-6,9.808,8.851,9.115,9.335,10.24,10.247,10.602,10.495,10.51,39.5,5488,55409
EOL XANGRI-LA,S,,-,-,-,-,7.085,6.753,6.677,6.886,6.896,3.17,-,50257
EOL XAVANTE,,029011-4,-,-,-,-,-,-,-,-,-,5.0,-,58103
EOL ZEUS II,NE,035266-7,10.919,10.018,9.83,10.057,10.978,10.969,11.34,11.145,11.161,28.5,6311,58645
PCH (CGH) JOAO FRANCO,,029644-9,-,-,-,-,-,-,-,-,-,1.0,-,1857
PCH (CGH) SANTANA DO DESERTO 1,,035745-6,-,-,-,-,-,-,-,-,-,1.6,-,1698
PCH - BANDEIRANTE,SE,032163-0,-,-,-,-,9.395,9.338,9.563,9.817,9.831,27.15,-,40350
PCH - FRUTEIRAS,,000999-7,-,-,-,-,-,-,-,-,-,3.95,-,35188
PCH - MUNIZ FREIRE,,001518-0,-,-,-,-,-,-,-,-,-,9.6,-,35070
PCH - PAREDINHA,,,-,-,-,-,0.0,0.0,0.0,0.0,0.0,7.0,-,44887
PCH - SAO JOAO,,026834-8,-,-,-,-,-,-,-,-,-,13.0,-,35013
PCH - VERDE 4,,029260-5,-,-,-,-,-,-,-,-,-,19.0,-,40348
PCH - VERDE 4A,,029261-3,-,-,-,-,-,-,-,-,-,28.0,-,40349
PCH - VICOSA,,000261-5,-,-,-,-,-,-,-,-,-,2.25,-,35103
PCH ADO POPINHAKI,,031598-2,-,-,-,-,-,-,-,-,-,22.6,2818,50328
PCH AGROTRAFO,,000031-0,-,-,-,-,-,-,-,-,-,14.03,97778,9744
PCH AGUA BRANCA,,029043-2,-,-,-,-,-,-,-,-,-,10.0,-,25740
PCH AGUA BRAVA,,029045-9,-,-,-,-,-,-,-,-,-,13.05,4404,25815
PCH AGUA CLARA,,029042-4,-,-,-,-,-,-,-,-,-,4.0,4405,25739
PCH AGUA DE OURO,S,,-,-,-,-,8.46,8.133,8.086,8.302,8.314,17.0,-,50301
PCH AGUA LIMPA,,028447-5,-,-,-,-,-,-,-,-,-,14.0,97786,9739
PCH AGUA PRATA,,029044-0,-,-,-,-,-,-,-,-,-,13.3,4403,25814
PCH AGUAS DA SERRA,,035496-1,-,-,-,-,-,-,-,-,-,22.49,2780,50440
PCH AGUTI,S,002755-3,-,-,-,-,6.356,6.015,5.928,6.145,6.154,3.9,-,50305
PCH ALEGRE,,000048-5,-,-,-,-,-,-,-,-,-,2.2,-,34751
PCH ALTO ALEGRE,,037173-4,-,-,-,-,-,-,-,-,-,17.4,2760,50333
PCH ALTO BENEDITO NOVO I,,028802-0,-,-,-,-,-,-,-,-,-,15.0,2780,50307
PCH ALTO E I E II,,,-,-,-,-,-,-,-,-,-,0.56,-,9518
PCH ALTO FEMEAS,,027414-3,-,-,-,-,-,-,-,-,-,10.0,-,18502
PCH ALTO GUAPORE 2,,035646-8,-,-,-,-,-,-,-,-,-,7.0,7580,26207
PCH ALTO IRANI,,028748-2,-,-,-,-,-,-,-,-,-,11.1,-,50323
PCH ALTO SUCURIU,,028817-9,-,-,-,-,-,-,-,-,-,29.0,1867,40336
PCH AMERICANA,,000089-2,-,-,-,-,-,-,-,-,-,30.0,-,30204
PCH ANGELINA,,002133-4,-,-,-,-,-,-,-,-,-,26.27,2870,50341
PCH ANHANGUERA,,028734-2,-,-,-,-,-,-,-,-,-,22.68,6597,29862
PCH ANJOS,,031130-8,-,-,-,-,-,-,-,-,-,0.8,-,26945
PCH ANNA MARIA,,000104-0,-,-,-,-,-,-,-,-,-,1.64,3330,4436
PCH ANTONIO BRENNAND(ALTO JAURU),,000077-9,-,-,-,-,-,-,-,-,-,20.0,4867,26423
PCH ANTONIO PRADO,,031618-0,-,-,-,-,-,-,-,-,-,1.25,-,4436
PCH APARECIDA,,035736-7,-,-,-,-,-,-,-,-,-,3.0,-,50332
PCH APERTADINHO,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,10.35,-,41970
PCH APUCARANINHA,,000122-8,-,-,-,-,-,-,-,-,-,3.05,-,45060
PCH AREADO - RB,SE,033893-1,11.486,9.832,9.93,9.558,9.395,9.338,9.563,9.817,9.831,17.82,1089,50202
PCH AREAL,,000140-6,-,-,-,-,-,-,-,-,-,21.0,-,28276
PCH AREIA,,028446-7,-,-,-,-,-,-,-,-,-,11.4,97787,9738
PCH AREIA BRANCA,,027910-2,-,-,-,-,-,-,-,-,-,12.5,-,26902
PCH ARIPUANA PCH,,027417-8,-,-,-,-,-,-,-,-,-,0.4,-,25714
PCH ARMANDO RIBEIRO,,035096-6,-,-,-,-,-,-,-,-,-,4.7,-,16005
PCH ARS,,000161-9,-,-,-,-,-,-,-,-,-,6.66,-,26378
PCH ARTURO ANDREOLI,,001278-5,-,-,-,-,-,-,-,-,-,29.07,848,6955
PCH ARVOREDO,,028755-5,-,-,-,-,-,-,-,-,-,4.4,-,50313
PCH ASSOMBRADO,S,,-,-,-,-,8.46,8.133,8.086,8.302,8.314,16.5,-,50300
PCH AUTODROMO,,029071-8,-,-,-,-,-,-,-,-,-,24.0,96908,8722
PCH BANDEIRANTE - RB,SE,032163-0,11.486,9.832,9.93,9.558,11.259,11.288,11.737,11.618,11.635,27.75,1089,58190
PCH BARRA,,027174-8,-,-,-,-,-,-,-,-,-,5.2,-,45055
PCH BARRA DA PACIENCIA,,027530-1,-,-,-,-,-,-,-,-,-,22.0,-,26910
PCH BARRA DAS AGUAS,,035155-5,-,-,-,-,-,-,-,-,-,8.5,-,50338
PCH BARRA DO LEAO,,,-,-,-,-,-,-,-,-,-,3.57,-,50330
PCH BARRA DO PINHEIRO,S,,-,-,-,-,8.46,8.133,8.086,8.302,8.314,14.7,-,50302
PCH BARRA DO RIO CHAPEU,,029141-2,-,-,-,-,-,-,-,-,-,7.6,-,50325
PCH BARRINHA,,034743-4,-,-,-,-,-,-,-,-,-,3.3,-,50236
PCH BARUITO,,000233-0,-,-,-,-,-,-,-,-,-,18.0,4840,26402
PCH BELA VISTA,,029576-0,-,-,-,-,-,-,-,-,-,28.99,-,50241
PCH BELA VISTA 29576,,029576-0,-,-,-,-,-,-,-,-,-,-,842,-
PCH BELEZA,,037309-5,-,-,-,-,-,-,-,-,-,6.5,4400,25736
PCH BENJAMIM MARIO BAPTISTA (ANT,,,-,-,-,-,-,-,-,-,-,9.0,-,4436
PCH BOA FE,,029063-7,-,-,-,-,-,-,-,-,-,24.0,96910,8725
PCH BOA SORTE - TO,,029060-2,-,-,-,-,-,-,-,-,-,15.9,96482,18523
PCH BOA VISTA II,,033465-0,-,-,-,-,-,-,-,-,-,29.7,93513,4338
PCH BOA VISTA II (COPEL),,000273-9,-,-,-,-,-,-,-,-,-,24.0,9411,44888
PCH BOCAIUVA,,029184-6,-,-,-,-,-,-,-,-,-,29.5,4460,26103
PCH BOM JESUS,,037381-8,-,-,-,-,-,-,-,-,-,8.0,-,40203
PCH BOM JESUS DO GALHO,,000284-4,-,-,-,-,-,-,-,-,-,1.0,-,26943
PCH BONFANTE,,000291-7,-,-,-,-,-,-,-,-,-,19.0,3995,4489
PCH BRACINHO,,000302-6,-,-,-,-,-,-,-,-,-,7.5,-,6119
PCH BRACO NORTE,,027112-8,-,-,-,-,-,-,-,-,-,1.4,-,26392
PCH BRACO NORTE III,,027176-4,-,-,-,-,-,-,-,-,-,14.04,4969,26322
PCH BRACO NORTE IV,,028772-5,-,-,-,-,-,-,-,-,-,13.98,4998,26323
PCH BRECHA,,000315-8,-,-,-,-,-,-,-,-,-,12.4,-,26945
PCH BRITO,,000318-2,-,-,-,-,-,-,-,-,-,2.9,-,26945
PCH BUGRES,,000324-7,-,-,-,-,-,-,-,-,-,11.5,-,9137
PCH BURITI,,028753-9,-,-,-,-,-,-,-,-,-,30.0,1863,40338
PCH BURITI MT,,000331-0,-,-,-,-,-,-,-,-,-,10.0,-,26330
PCH CABECA DE BOI,,029733-0,-,-,-,-,-,-,-,-,-,29.43,4472,26398
PCH CABIXI I,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,2.7,-,41970
PCH CABIXI II,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,2.8,-,41970
PCH CABOCLO,,000345-0,-,-,-,-,-,-,-,-,-,3.82,93483,1691
PCH CABUI,,035309-4,-,-,-,-,-,-,-,-,-,16.0,-,39855
PCH CACADOR,,027878-5,-,-,-,-,-,-,-,-,-,7.5,-,8186
PCH CACH POCO PRETO I E II,,030406-9,-,-,-,-,-,-,-,-,-,4.2,-,30038
PCH CACH. DO POCO PRETO I E II,,030406-9,-,-,-,-,-,-,-,-,-,2.1,-,30038
PCH CACHOEIRA,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,4.3,-,41970
PCH CACHOEIRA ALTA,,000404-9,-,-,-,-,-,-,-,-,-,0.3,-,4436
PCH CACHOEIRA CINCO VEADOS,,031030-1,-,-,-,-,-,-,-,-,-,16.2,-,50266
PCH CACHOEIRA DA LIXA - BA,,028999-0,-,-,-,-,-,-,-,-,-,14.8,96448,18509
PCH CACHOEIRA DOS PRAZERES,,000526-6,-,-,-,-,-,-,-,-,-,1.75,93484,1680
PCH CACHOEIRAO,SE,027940-4,-,-,-,-,9.852,9.883,10.228,10.113,10.128,12.5,-,26900
PCH CAJU,,029726-7,-,-,-,-,-,-,-,-,-,9.8,-,28257
PCH CAJURU,,000597-5,-,-,-,-,-,-,-,-,-,7.2,-,27503
PCH CALHEIROS,,027672-3,-,-,-,-,-,-,-,-,-,19.0,-,1971
PCH CANDENGO,NE,033901-6,-,-,-,-,8.119,8.135,8.432,8.252,8.264,12.2,-,18515
PCH CANHADAO,,032511-0,-,-,-,-,-,-,-,-,-,10.0,2454,6970
PCH CANOA QUEBRADA,,000646-7,-,-,-,-,-,-,-,-,-,28.0,-,26383
PCH CANTU 2,,029180-3,-,-,-,-,-,-,-,-,-,19.55,866,50217
PCH CAPIGUI,,000654-8,-,-,-,-,-,-,-,-,-,3.8,-,8294
PCH CAPIVARI,,000659-9,-,-,-,-,-,-,-,-,-,18.09,2854,50326
PCH CARANGOLA,,027731-2,-,-,-,-,-,-,-,-,-,15.0,93400,1655
PCH CASCA III,,000688-2,-,-,-,-,-,-,-,-,-,12.42,4757,26308
PCH CASCATA,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,3.5,-,41970
PCH CASTAMAN II,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,1.43,-,41970
PCH CASTANHAO,,035074-5,-,-,-,-,-,-,-,-,-,9.0,-,15510
PCH CASTRO,,032513-9,-,-,-,-,-,-,-,-,-,2.0,-,6881
PCH CAVEIRAS,,000728-5,-,-,-,-,-,-,-,-,-,4.07,-,6309
PCH CAVERNOSO II,,030458-1,-,-,-,-,-,-,-,-,-,19.0,2448,45061
PCH CAZUZA FERREIRA,,000735-8,-,-,-,-,-,-,-,-,-,9.1,96912,8742
PCH CELSO RAMOS,,000742-0,-,-,-,-,-,-,-,-,-,13.9,-,6433
PCH CESAR FILHO,,031050-6,-,-,-,-,-,-,-,-,-,7.0,6822,9637
PCH CGH ALAGOA III,,044305-0,-,-,-,-,-,-,-,-,-,1.6,-,39860
PCH CGH BURITIRANA,,029804-2,-,-,-,-,-,-,-,-,-,1.12,-,18516
PCH CGH BURITIZAL,,037358-3,-,-,-,-,-,-,-,-,-,5.0,-,26098
PCH CGH CORRENTAO,,,-,-,-,-,-,-,-,-,-,2.7,-,26444
PCH CGH FAZENDA MODELO,,,-,-,-,-,-,-,-,-,-,5.0,-,25742
PCH CGH JULIANA I,NE,,-,-,-,-,8.119,8.135,8.432,8.252,8.264,0.14,-,18534
"PCH CGH JULIANA I, II, VARGIDO",NE,029699-6,-,-,-,-,8.119,8.135,8.432,8.252,8.264,0.84,-,18534
PCH CGH JULIANA II,NE,,-,-,-,-,8.119,8.135,8.432,8.252,8.264,0.4,-,18534
PCH CGH PACIFICO MASCARENHAS,,001928-3,-,-,-,-,-,-,-,-,-,5.0,-,39861
PCH CGH PIABANHA,,031902-3,-,-,-,-,-,-,-,-,-,1.3,-,18517
PCH CGH SANTA LUZIA,,038158-6,-,-,-,-,-,-,-,-,-,1.5,-,35190
PCH CGH SERRA NEGRA,,040663-5,-,-,-,-,-,-,-,-,-,3.0,-,39862
PCH CGH SIRIVERA,,035446-5,-,-,-,-,-,-,-,-,-,2.0,-,18518
PCH CGH SPESSATO,,,-,-,-,-,-,-,-,-,-,2.7,-,50330
PCH CGH TAPUIAS,,035426-0,-,-,-,-,-,-,-,-,-,2.0,-,18520
PCH CGH VALE VERDE,,,-,-,-,-,-,-,-,-,-,1.0,-,17003
PCH CHALE,,038150-0,-,-,-,-,-,-,-,-,-,1.05,-,26927
PCH CHAMINE,,000753-6,-,-,-,-,-,-,-,-,-,4.5,-,6899
PCH CHIMARRAO,,035481-3,-,-,-,-,-,-,-,-,-,11.83,96911,50269
PCH CHOPIM I,,000771-4,-,-,-,-,-,-,-,-,-,1.98,-,45056
PCH CIDEZAL,,028836-5,-,-,-,-,-,-,-,-,-,16.77,4430,4315
PCH CLAIRTO ZONTA,,035147-4,-,-,-,-,-,-,-,-,-,5.0,-,45120
PCH COBRE KM 19,,036938-1,-,-,-,-,-,-,-,-,-,14.2,-,7148
PCH COCAIS GRANDE,,027728-2,-,-,-,-,-,-,-,-,-,5.0,-,1659
PCH COLINO 1 - BA,,029004-1,-,-,-,-,-,-,-,-,-,11.0,96448,18507
PCH COLINO 2 - BA,,028997-3,-,-,-,-,-,-,-,-,-,16.0,96448,18506
PCH CONFLUENCIA,,029068-0,-,-,-,-,-,-,-,-,-,27.0,828,7232
PCH CONSORCIO,S,,-,-,-,-,6.356,6.015,5.928,6.145,6.154,10.2,-,50305
PCH COQUEIRAL,,029769-0,-,-,-,-,-,-,-,-,-,3.16,2870,50343
PCH CORACAO,,032516-3,-,-,-,-,-,-,-,-,-,4.6,-,50247
PCH CORONEL DOMICIANO,,000838-9,-,-,-,-,-,-,-,-,-,5.04,-,4436
PCH CORREGPCH034,,044877-0,-,-,-,-,-,-,-,-,-,3.8,-,8376
PCH CORRENTE GRANDE,,027842-4,-,-,-,-,-,-,-,-,-,14.0,-,26911
PCH COSTA RICA,,000872-9,-,-,-,-,-,-,-,-,-,15.81,1858,40341
PCH COTIPORA,,027877-7,-,-,-,-,-,-,-,-,-,6.5,-,8188
PCH COVO,,029411-0,-,-,-,-,-,-,-,-,-,5.0,-,50203
PCH CRISTALINO,,028783-0,-,-,-,-,-,-,-,-,-,12.0,-,45057
PCH CRIUVA,,029002-5,-,-,-,-,-,-,-,-,-,8.0,-,8738
PCH CUREMAS,,027402-0,-,-,-,-,-,-,-,-,-,3.5,-,16501
PCH DA FAZENDA,,029734-8,-,-,-,-,-,-,-,-,-,26.49,4477,26395
PCH DA ILHA,,028725-3,-,-,-,-,-,-,-,-,-,13.0,-,8189
PCH DAS PEDRAS,,030575-8,-,-,-,-,-,-,-,-,-,2.8,-,45078
PCH DERIVACAO RIO JORDAO,,,-,-,-,-,-,-,-,-,-,6.5,-,45055
PCH DIANOPOLIS,,027227-2,-,-,-,-,-,-,-,-,-,17.39,-,20585
PCH DIVINO,,029948-0,-,-,-,-,-,-,-,-,-,1.0,-,26942
PCH DIVISA,,029048-3,-,-,-,-,-,-,-,-,-,10.8,4436,4315
PCH DOIDO,,031244-4,-,-,-,-,-,-,-,-,-,6.0,96492,18535
PCH DOIS SALTOS,,033975-0,-,-,-,-,-,-,-,-,-,30.0,9408,7142
PCH DORES DE GANHAES,,028781-4,-,-,-,-,-,-,-,-,-,13.18,93468,27058
PCH DURANDE,,031144-8,-,-,-,-,-,-,-,-,-,3.0,-,26941
PCH EDGARD DE SOUZA,,029204-4,-,-,-,-,-,-,-,-,-,12.0,-,34452
PCH ELOY CHAVES,,027108-0,-,-,-,-,-,-,-,-,-,18.93,2276,2212
PCH EMBAUBA,,,-,-,-,-,-,-,-,-,-,2.25,-,25804
PCH ENXADRISTA,,035731-6,-,-,-,-,-,-,-,-,-,1.0,-,50245
PCH ERNESTINA,,000898-2,-,-,-,-,-,-,-,-,-,4.9,-,8288
PCH ESMERALDA,,028430-0,-,-,-,-,-,-,-,-,-,5.6,-,8346
PCH ESTIVADINHO 3,,033415-4,-,-,-,-,-,-,-,-,-,9.9,4807,26201
PCH FAGUNDES,,000928-8,-,-,-,-,-,-,-,-,-,5.0,-,28277
PCH FARTURA,,044805-2,-,-,-,-,-,-,-,-,-,4.9,2870,2870
PCH FAXINAL DOS GUEDES,,028830-6,-,-,-,-,-,-,-,-,-,1.0,-,50316
PCH FAXINAL I,,000935-0,-,-,-,-,-,-,-,-,-,2.8,-,25712
PCH FAXINAL I E II,,,-,-,-,-,-,-,-,-,-,32.8,-,25712
PCH FAXINAL II,,028780-6,-,-,-,-,-,-,-,-,-,5.0,-,25712
PCH FAXINAL II EXPANSAO,,,-,-,-,-,-,-,-,-,-,10.0,-,25712
PCH FAZENDA DO SALTO,,035340-0,-,-,-,-,-,-,-,-,-,9.85,-,7150
PCH FIGUEIROPOLIS,,029145-5,-,-,-,-,-,-,-,-,-,19.3,4800,26431
PCH FLOR DO SERTAO,,028852-7,-,-,-,-,-,-,-,-,-,5.5,-,50321
PCH FORQUILHA,,035801-0,-,-,-,-,-,-,-,-,-,5.5,2454,45055
PCH FORQUILHA IV,,034057-0,-,-,-,-,-,-,-,-,-,4.33,-,8360
PCH FORTUNA II,,028426-2,-,-,-,-,-,-,-,-,-,8.46,93467,27057
PCH FOZ DO CEDRO,,034560-1,-,-,-,-,-,-,-,-,-,12.0,-,26211
PCH FOZ DO CHOPIM,,028624-9,-,-,-,-,-,-,-,-,-,13.8,-,6956
PCH FOZ DO ESTRELA,,028998-0,-,-,-,-,-,-,-,-,-,29.48,823,50255
PCH FRANCA AMARAL,,000992-0,-,-,-,-,-,-,-,-,-,4.5,-,28252
PCH FRANCISCO GROSS,,028380-0,-,-,-,-,-,-,-,-,-,28.97,2918,35111
PCH FUMACA,,027957-9,-,-,-,-,-,-,-,-,-,9.7,93482,26945
PCH FUMACA IV,,000048-5,-,-,-,-,-,-,-,-,-,2.25,-,34751
PCH FUNDAO,,,-,-,-,-,-,-,-,-,-,2.7,-,45055
PCH FUNIL,,027066-0,-,-,-,-,-,-,-,-,-,22.5,-,1657
PCH FUNIL 27066,,027066-0,-,-,-,-,-,-,-,-,-,3.55,93487,26945
PCH FURNAS DO SEGREDO,,001009-0,-,-,-,-,-,-,-,-,-,4.9,-,7598
PCH FURQUIM,,028175-1,-,-,-,-,-,-,-,-,-,5.88,93485,26945
PCH GAFANHOTO,,001011-1,-,-,-,-,-,-,-,-,-,3.5,-,1786
PCH GALHEIROS I,,030312-7,-,-,-,-,-,-,-,-,-,11.55,96103,42611
PCH GARCA BRANCA,,,-,-,-,-,-,-,-,-,-,6.5,-,50340
PCH GARCIA,,001019-7,-,-,-,-,-,-,-,-,-,4.45,-,6095
PCH GARGANTA JARARACA,,028918-3,-,-,-,-,-,-,-,-,-,29.3,4900,26411
PCH GLORIA,,,-,-,-,-,-,-,-,-,-,13.8,-,4436
PCH GUARITA,,001076-6,-,-,-,-,-,-,-,-,-,5.0,-,8156
PCH GUARY,,001078-2,-,-,-,-,-,-,-,-,-,5.32,3330,4436
PCH GUSTAVO PAIVA,,030112-4,-,-,-,-,-,-,-,-,-,0.86,-,17505
PCH HENRIQUE KOTZIAN,,029246-0,-,-,-,-,-,-,-,-,-,13.0,9222,9152
PCH IACIARA,,,-,-,-,-,-,-,-,-,-,46.5,-,1272
PCH IBIRAMA,,029049-1,-,-,-,-,-,-,-,-,-,7.0,-,50306
PCH ILHA COMPRIDA,,028835-7,-,-,-,-,-,-,-,-,-,19.91,4440,4315
PCH INDAIA - MS,,001128-2,-,-,-,-,-,-,-,-,-,3.2,-,8365
PCH INDAIA GRANDE (FIGUEIRA),SE,030078-0,11.486,9.832,9.93,9.558,9.59,9.538,9.781,10.031,10.045,19.99,1089,42583
PCH INDAIAZINHO (GUATAMBU),SE,030079-9,11.486,9.832,9.93,9.558,9.59,9.538,9.781,10.031,10.045,12.49,1089,42585
PCH INDIAVAI,,027370-8,-,-,-,-,-,-,-,-,-,28.0,4810,26403
PCH INGA,,,-,-,-,-,-,-,-,-,-,1.26,-,4436
PCH INGA MIRIM,,,-,-,-,-,-,-,-,-,-,1.0,-,4436
PCH INHAPIM,,028987-6,-,-,-,-,-,-,-,-,-,6.0,-,26944
PCH INVERNADINHA,,035800-2,-,-,-,-,-,-,-,-,-,18.0,2454,6919
PCH INXU,,030642-8,-,-,-,-,-,-,-,-,-,21.55,4658,26439
PCH IVAN BOTELHO I (PONTE),,027534-4,-,-,-,-,-,-,-,-,-,25.0,96503,2168
PCH IVAN BOTELHO II (PALESTINA),,027727-4,-,-,-,-,-,-,-,-,-,12.6,96505,2163
PCH IVAN BOTELHO III (TRIUNFO),,027532-8,-,-,-,-,-,-,-,-,-,24.4,3333,55479
PCH JACARE,,028749-0,-,-,-,-,-,-,-,-,-,8.86,93465,27059
PCH JACUTINGA,S,,-,-,-,-,8.797,8.457,8.44,8.619,8.631,4.9,-,6435
PCH JARARACA,,028715-6,-,-,-,-,-,-,-,-,-,14.0,-,8191
PCH JARDIM,,030887-0,-,-,-,-,-,-,-,-,-,9.0,96911,50224
PCH JASPE,,032571-6,-,-,-,-,-,-,-,-,-,5.1,-,50335
PCH JESUITA,,028818-7,-,-,-,-,-,-,-,-,-,11.15,4874,4315
PCH JOAO BORGES,,029332-6,-,-,-,-,-,-,-,-,-,19.0,9872,50329
PCH JOAO CAMILO PENA,,000473-1,-,-,-,-,-,-,-,-,-,22.0,96501,2170
PCH JOASAL,,001255-6,-,-,-,-,-,-,-,-,-,8.0,-,27202
PCH JORGE DREHER,,029245-1,-,-,-,-,-,-,-,-,-,17.87,9224,50318
PCH JOSE GELASIO,,028845-4,-,-,-,-,-,-,-,-,-,23.17,4600,26340
PCH JUI 117,,034966-6,-,-,-,-,-,-,-,-,-,25.0,3547,26203
PCH JUINA,,028168-9,-,-,-,-,-,-,-,-,-,5.3,-,26376
PCH JUIZ DE FORA I,,,-,-,-,-,-,-,-,-,-,9.7,-,1697
PCH JURUENA,SE,,-,-,-,-,11.612,11.666,12.089,11.752,11.769,25.0,-,39813
PCH LACERDOPOLIS,,037820-8,-,-,-,-,-,-,-,-,-,9.6,2760,50249
PCH LAGOA GRANDE - TO,,029057-2,-,-,-,-,-,-,-,-,-,24.3,96485,18529
PCH LAJARI,,033386-7,-,-,-,-,-,-,-,-,-,20.88,4616,26326
PCH LAJEADO - MS,,031438-2,-,-,-,-,-,-,-,-,-,8.8,-,8364
PCH LAJES (FONTES VELHA),,001306-4,-,-,-,-,-,-,-,-,-,16.7,254,4280
PCH LAMBARI,,035120-2,-,-,-,-,-,-,-,-,-,4.0,-,50237
PCH LAVRINHAS,,029114-5,-,-,-,-,-,-,-,-,-,30.0,97238,2963
PCH LIMEIRA,,030866-8,-,-,-,-,-,-,-,-,-,1.26,-,4436
PCH LINHA 3 LESTE,,028231-6,-,-,-,-,-,-,-,-,-,4.5,-,8155
PCH LINHA APARECIDA,,030636-3,-,-,-,-,-,-,-,-,-,24.92,9594,50340
PCH LINHA EMILIA,,027876-9,-,-,-,-,-,-,-,-,-,6.5,-,8187
PCH LINHA JACINTO,,030637-1,-,-,-,-,-,-,-,-,-,17.41,9594,50340
PCH LINHA ONZE OESTE,S,037413-0,-,-,-,-,7.613,7.245,7.151,7.314,7.325,15.5,-,8347
PCH LINHA RICA,,032879-0,-,-,-,-,-,-,-,-,-,8.0,-,50339
PCH LUCIA CHEROBIM,,028419-0,-,-,-,-,-,-,-,-,-,28.0,10288,45651
PCH LUDESA,,028801-2,-,-,-,-,-,-,-,-,-,30.0,9422,6800
PCH MACABU,,001347-1,-,-,-,-,-,-,-,-,-,21.0,-,28253
PCH MACACOS,,035006-0,-,-,-,-,-,-,-,-,-,9.9,94605,7149
PCH MALAGONE,,029646-5,-,-,-,-,-,-,-,-,-,19.0,93410,27302
PCH MAMBAI II,,028829-2,-,-,-,-,-,-,-,-,-,12.0,-,1272
PCH MANOPLA,,030572-3,-,-,-,-,-,-,-,-,-,5.7,-,17005
PCH MANTOVILLIS,,033916-4,-,-,-,-,-,-,-,-,-,2.6,-,26205
PCH MANUEL ALVES,N,,-,-,-,-,10.272,10.269,10.616,10.498,10.513,8.0,-,9771
PCH MARACANA,,030185-0,-,-,-,-,-,-,-,-,-,10.5,-,26107
PCH MARMELOS,,001420-6,-,-,-,-,-,-,-,-,-,3.9,-,27200
PCH MAROMBAS,,001423-0,-,-,-,-,-,-,-,-,-,1.0,-,50308
PCH MAROMBAS I,,038153-5,-,-,-,-,-,-,-,-,-,3.3,-,50336
PCH MAROMBAS II,,038154-3,-,-,-,-,-,-,-,-,-,1.8,-,50337
PCH MARTINS,,001427-3,-,-,-,-,-,-,-,-,-,1.9,-,1750
PCH MARTINUV,SE,,-,-,-,-,5.201,5.194,5.361,5.376,5.384,1.1,-,41970
PCH MARUMBA,,,-,-,-,-,-,-,-,-,-,2.4,-,45066
PCH MATA VELHA,,028607-9,-,-,-,-,-,-,-,-,-,24.0,93452,1829
PCH MATRINCHA,SE,035325-6,-,11.017,11.119,10.975,8.995,8.848,8.991,8.912,8.925,29.7,-,3304
PCH MEDIO GARCIA,,035742-1,-,-,-,-,-,-,-,-,-,1.6,-,50238
PCH MELISSA,,001452-4,-,-,-,-,-,-,-,-,-,0.48,-,45062
PCH MESTRE,,029154-4,-,-,-,-,-,-,-,-,-,1.0,-,25817
PCH MESTRE E SANTA CECILIA,,,-,-,-,-,-,-,-,-,-,5.5,-,25817
PCH MIGUEL PEREIRA,,001462-1,-,-,-,-,-,-,-,-,-,0.74,-,4436
PCH MIRADOURO,,030847-1,-,-,-,-,-,-,-,-,-,1.26,-,4436
PCH MOINHO,,029725-9,-,-,-,-,-,-,-,-,-,13.5,9749,8724
PCH MONTE BELO,,,-,-,-,-,-,-,-,-,-,2.4,-,9518
PCH MONTE SERRAT,,001498-2,-,-,-,-,-,-,-,-,-,25.0,3997,4491
PCH MORRO GRANDE,,030950-8,-,-,-,-,-,-,-,-,-,9.8,96911,50225
PCH MOSQUITAO,,028541-2,-,-,-,-,-,-,-,-,-,30.0,3749,1246
PCH MOURAO I,,001509-1,-,-,-,-,-,-,-,-,-,2.75,-,6907
PCH MUCURI,,028842-0,-,-,-,-,-,-,-,-,-,18.81,93455,18519
PCH NINHO DA AGUIA,,027576-0,-,-,-,-,-,-,-,-,-,10.0,93434,27902
PCH NOVA FATIMA,,029139-0,-,-,-,-,-,-,-,-,-,4.1,2854,50326
PCH NOVA GUAPORE,,034705-1,-,-,-,-,-,-,-,-,-,13.96,7580,25719
PCH NOVA JAGUARIAIVA,,001549-0,-,-,-,-,-,-,-,-,-,1.2,-,45058
PCH NOVA MUTUM,,031042-5,-,-,-,-,-,-,-,-,-,14.0,-,26094
PCH NOVO HORIZONTE,,028782-2,-,-,-,-,-,-,-,-,-,23.0,9742,45076
PCH OMBREIRAS,,027216-7,-,-,-,-,-,-,-,-,-,26.0,4811,26421
PCH OURO,,028968-0,-,-,-,-,-,-,-,-,-,16.0,9747,8724
PCH PACIENCIA,,001927-5,-,-,-,-,-,-,-,-,-,4.1,-,27201
PCH PAI JOAQUIM,,001934-8,-,-,-,-,-,-,-,-,-,23.0,-,1438
PCH PAIM FILHO,,,-,-,-,-,-,-,-,-,-,37.2,-,8346
