CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
EDP ES;380;11;3036;JNEIVA-2-138; JOAO NEIVA 2 - 138;  8,031;  7,748;       ;       ;296,9;300,3
EDP ES;380;11;3024;LINHA2-ES138; LINHARES - 138;  8,090;  7,813;       ;       ;49,58;46,46
EDP ES;380;11;2655;MASCAR-ES138; MASCARENHAS - 138;  7,959;  7,673;       ;       ;80,20;102,0
EDP ES;380;11;3033;R.N.SUL--138; RIO NOVO SUL - 138;  8,004;  7,731;       ;       ;180,0;204,6
EDP ES;380;11;3030;SMATEUS2-138; SAO MATEUS 2 - 138;  8,204;  7,933;       ;       ;49,58;42,73
EDP ES;380;11;2909;VERONA-ES138; VERONA - 138;  8,195;  7,928;       ;       ;83,15;78,92
EDP ES;380;11;2619;VIANA--ES138; VIANA - 138;  8,097;  7,830;       ;       ;303,3;318,6
EDP ES;380;11;177;VITORI-ES138; VITORIA - 138;  8,127;  7,861;       ;       ;509,8;541,3
EDP SAO PAULO;391;29;452;AGUAZUL--138; AGUA AZUL - 138;  8,625;  8,648;       ;       ;63,99;62,83
EDP SAO PAULO;391;29;459;APAREC-SP088; APARECIDA - 88;  8,356;  8,318;       ;       ;99,81;107,4
EDP SAO PAULO;391;29;3058;AVP----SP088; VILA DE PAIVA - 88;  8,848;  8,878;       ;       ;19,96;17,86
EDP SAO PAULO;391;29;3056;BARRAU-SP138; BARRA DO UNA - 138;  8,700;  8,740;       ;       ;28,37;29,42
EDP SAO PAULO;391;29;3051;BIRITI-SP138; BIRITIBA - 138;  8,651;  8,679;       ;       ;23,12;22,96
EDP SAO PAULO;391;29;3054;BOISSU-SP138; BOISSUCANGA - 138;  8,674;  8,708;       ;       ;35,72;34,67
EDP SAO PAULO;391;29;3057;CARAGU-SP138; CARAGUATATUBA - 88;  8,606;  8,628;       ;       ;64,09;63,04
EDP SAO PAULO;391;29;3081;CEBRA--SP088; CEBRASP - 88;  8,821;  8,850;       ;       ;11,24;12,08
EDP SAO PAULO;391;29;3401;DCTA---SP088; ETC DCTA SP - 088;  8,863;  8,893;       ;       ; 2,21; 5,87
EDP SAO PAULO;391;29;3063;EMBRAE-SP138; EMBRAER - 88;  8,505;  8,509;       ;       ; 8,41;10,19
EDP SAO PAULO;391;29;3084;GLEB-Y-SP138; GLEBA - 138;  8,640;  8,668;       ;       ;29,21;30,05
EDP SAO PAULO;391;29;445;ITAPET-SP088; ITAPETI - 88;  8,563;  8,590;       ;       ;331,0;331,0
EDP SAO PAULO;391;29;3060;JAMBEI-SP138; JAMBEIRO - 88;  8,533;  8,542;       ;       ; 5,37; 6,54
EDP SAO PAULO;391;29;3077;JUQUEH-SP138; JUQUEHY - 138;  8,690;  8,728;       ;       ;16,81;16,81
EDP SAO PAULO;391;29;3046;MANUEL-SP138; MANUEL AREIAS - 138;  8,638;  8,664;       ;       ;24,16;28,37
EDP SAO PAULO;391;29;3055;MARESI-SP138; MARESIAS - 138;  8,666;  8,699;       ;       ;16,81;15,76
EDP SAO PAULO;391;29;3090;MASSAG-SP138; MASSAGUACU - 138;  8,606;  8,628;       ;       ;25,22;25,22
EDP SAO PAULO;391;29;3082;MFOODS-SP088; MASTERFOODS - 88;  8,797;  8,825;       ;       ;16,28;15,76
EDP SAO PAULO;391;29;447;MOG-EP-SP088; MOGI - 88;  9,061;  9,164;       ;       ;220,6;225,6
EDP SAO PAULO;391;29;3076;OLARIA-SP138; OLARIA - 138;  8,631;  8,657;       ;       ; 5,10; 5,10
EDP SAO PAULO;391;29;3059;P.NOVO-SP138; PORTO NOVO - 138;  8,620;  8,644;       ;       ;24,95;24,16
EDP SAO PAULO;391;29;3069;PET-RP-SP138; RIO PARDO - 138;  8,644;  8,672;       ;       ;18,18;18,60
EDP SAO PAULO;391;29;3048;PETROM-SP138; PETROM - 138;  8,652;  8,680;       ;       ; 6,83; 6,83
EDP SAO PAULO;391;29;3047;POLIMX-SP138; POLIMIX - 138;  8,640;  8,667;       ;       ; 0,00; 0,00
EDP SAO PAULO;391;29;462;S.CAB1-SP088; SANTA CABECA - 88;  8,500;  8,505;       ;       ;147,1;152,3
EDP SAO PAULO;391;29;455;S.JOSE-SP088; S.JOSE CAMPOS - 88;  8,865;  8,895;       ;       ;512,6;523,1
EDP SAO PAULO;391;29;3072;SIFAO--SP138; SIFAO - 138;  8,700;  8,738;       ;       ; 3,50; 3,50
EDP SAO PAULO;391;29;3075;SKOL---SP088; SKOL - 88;  8,722;  8,749;       ;       ;17,86;17,86
EDP SAO PAULO;391;29;3073;SLUZIA-SP138; SANTA LUZIA -138;  8,510;  8,515;       ;       ;12,00;12,00
ENEL CEARA;39;66;5486;ACARAU-CE230; ACARAU II – 230;  7,015;  6,605;       ;       ;42,00;53,00
ENEL CEARA;39;66;5383;AQUIR2-CE069; AQUIRAZ II - 69;  7,512;  7,200;       ;       ;258,2;360,0
ENEL CEARA;39;66;5423;BANABU-CE069; BANABUIU - 69;  7,079;  6,698;       ;       ;117,0;116,0
ENEL CEARA;39;66;5653;CAUIPE-CE069; CAUIPE - 69;  7,425;  7,076;       ;       ;158,0;164,0
ENEL CEARA;39;66;8320;CRATO2-CE069; CRATO - 69;  7,065;  6,665;       ;       ;110,5;119,7
ENEL CEARA;39;66;5473;D.GOUV-CE069; DELM. GOUVEIA- 69;  7,902;  7,697;       ;       ;278,8;320,8
ENEL CEARA;39;66;5453;FORTAL-CE069; FORTALEZA - 69;  7,415;  7,078;       ;       ;207,5;231,8
ENEL CEARA;39;66;6011;IBIAPI-CE230; IBIAPINA II – 230;  7,220;  6,821;       ;       ;62,00;63,00
ENEL CEARA;39;66;5633;ICO----CE000; ICO - 69;  7,117;  6,709;       ;       ;30,40;31,38
ENEL CEARA;39;66;5083;MARACANAU069; MARACANAU - 69;  7,510;  7,179;       ;       ;215,0;230,0
ENEL CEARA;39;66;5413;MILAGR-CE069; MILAGRES - 69;  6,887;  6,471;       ;       ;156,9;164,2
ENEL CEARA;39;66;5855;PACABA-CE069; PACATUBA - 69;  7,055;  6,640;       ;       ;185,0;185,0
ENEL CEARA;39;66;5643;PICI2--CE069; PICI II - 69;  7,632;  7,314;       ;       ;311,0;320,0
ENEL CEARA;39;66;5433;RUSSAS-CE069; RUSSAS II - 69;  6,883;  6,475;       ;       ;95,00;136,0
ENEL CEARA;39;66;5483;SOBRAL-CE069; SOBRAL II - 69;  7,298;  6,916;       ;       ;202,0;209,0
ENEL CEARA;39;66;5613;TAUA2--CE069; TAUA II - 69;  7,111;  6,694;       ;       ;70,00;68,00
ENEL RIO;383;10;173;ADRIAN-RJ138; ADRIANOPOLIS - 138;  8,351;  8,194;       ;       ; 0,33; 0,90
ENEL RIO;383;10;185;ANGRA--RJ138; ANGRA 1 - 138;  8,095;  7,954;       ;       ;61,02;67,22
ENEL RIO;383;10;1773;ANGRAE-RJ138; ANGRA AMPLA - 138;  8,146;  8,009;       ;       ;39,75;37,88
ENEL RIO;383;10;175;CAMPOS-RJ138; CAMPOS - 138;  7,873;  7,578;       ;       ;608,4;608,4
ENEL RIO;383;10;1771;JACUAC-RJ138; JACUACANGA - 138;  8,156;  8,019;       ;       ;29,01;32,02
ENEL RIO;383;10;9505;LAGOS--RJ138; LAGOS - 138;  7,966;  7,700;       ;       ;520,0;520,0
ENEL RIO;383;10;1770;MURIQU-RJ138; MURIQUI - 138;  8,203;  8,070;       ;       ;40,33;40,33
ENEL RIO;383;10;1780;RESEND-RJ138; RESENDE - 138;  8,121;  8,016;       ;       ;190,0;192,0
ENEL RIO;383;10;169;SJOSE1-RJ138; SAO JOSE - 138;  8,243;  8,104;       ;       ; 1080; 1080
ENEL RIO;383;10;1736;V.PEDR-RJ138; VENDA PEDRAS - 138;  8,335;  8,156;       ;       ;472,6;479,9
ENEL SAO PAULO;390;28;444;ANHANG-SP088; ANHANGUERA - 88;  8,782;  8,830;       ;       ;515,5;514,5
ENEL SAO PAULO;390;28;3494;BANDE1-SP034; BANDEIRANTES - 34,5;  8,880;  8,953;       ;       ;191,2;214,6
ENEL SAO PAULO;390;28;493;BANDEI-SP088; ECH BANDEIRAN - 88;  8,880;  8,953;       ;       ;663,6;716,1
ENEL SAO PAULO;390;28;3429;CENTR--SP020; CENTRO-CTR - 20;  9,534;  9,765;       ;       ;116,2;132,6
ENEL SAO PAULO;390;28;428;CENTRO-SP088; CENTRO-CTR - 88;  9,534;  9,765;       ;       ;125,6;165,6
ENEL SAO PAULO;390;28;583;EMBUG--SP138; EMBU-GUACU - 138;  8,865;  8,914;       ;       ;293,9;282,5
ENEL SAO PAULO;390;28;411;ESOUZA-SP088; EDGARD SOUZA - 88;  9,176;  9,305;       ;       ;270,4;291,2
ENEL SAO PAULO;390;28;588;JANDI--SP088; JANDIRA - 88;  8,810;  8,851;       ;       ;546,0;523,5
ENEL SAO PAULO;390;28;465;LESTE--SP088; LESTE - 88;  8,663;  8,719;       ;       ;728,8;721,7
