Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
288; IBICOARA - 230;;  9,669;;  9,669;  9,645;;;  9,645;
588; IBICOARA - 500;; 10,392;; 10,392; 10,368;;; 10,368;
6680; IBIPORA - 230;;  6,308;;  6,308;  6,284;;;  6,284;
3691; IBIUNA - 345;;  4,529;;  4,529;  5,178;;;  5,178;
3690; IBIUNA - 500;;  5,820;;  5,820;  5,796;;;  5,796;
217; ICO - 230;;  9,755;;  9,755;  9,731;;;  9,731;
394; IGAPORA II - 230;; 11,584;; 11,584; 11,560;;; 11,560;
11394; IGAPORA III - 230;; 11,510;; 11,510; 11,486;;; 11,486;
11594; IGAPORA III - 500;; 11,337;; 11,337; 11,313;;; 11,313;
7714; IGUATEMI 2 MS - 230;;  7,467;;  7,467;  7,444;;;  7,444;
9264; IJUI 2 - 230;;  7,195;;  7,195;  7,171;;;  7,171;
7918; CAIACA-SC - 230;;  5,356;;  5,356;  5,332;;;  5,332;
7755; IMBIRUSSU - 230;;  8,261;;  8,261;  8,237;;;  8,237;
239; IMPERATRIZ - 230;;  9,918;;  9,918;  9,894;;;  9,894;
539; IMPERATRIZ - 500;; 10,613;; 10,613; 10,589;;; 10,589;
7904; INDAIAL - 230;;  6,053;;  6,053;  6,029;;;  6,029;
38855; INOCENCIA - 230;;  9,495;;  9,495;  9,471;;;  9,471;
936; INTEGRADORA - 500;;  9,914;;  9,914;  9,890;;;  9,890;
2930; INTERNATIONAL 2 - 230;;  4,615;;  4,615;  5,178;;;  5,178;
2929; INTERNATIONAL - 345;;  4,303;;  4,303;  5,178;;;  5,178;
1623; IPATINGA I - 230;;  9,202;;  9,202;  9,178;;;  9,178;
6649; F.IGUACU - 500;;  7,598;;  7,598;  7,574;;;  7,574;
1521; IRAPE - 230;; 12,546;; 12,546; 12,522;;; 12,522;
1510; IRAPE - 345;; 12,846;; 12,846; 12,822;;; 12,822;
7022; IRATI NORTE - 230;;  6,915;;  6,915;  6,891;;;  6,891;
283; IRECE - 230;; 10,650;; 10,650; 10,626;;; 10,626;
7827; ITA SC - 230;;  8,301;;  8,301;  8,277;;;  8,277;
7722; ITA - 525;;  8,067;;  8,067;  8,043;;;  8,043;
271; ITABAIANA - 230;;  8,681;;  8,681;  8,657;;;  8,657;
3664; ITABERA - 765;;  6,493;;  6,493;  6,469;;;  6,469;
1626; ITABIRA 2 - 230;;  9,062;;  9,062;  9,039;;;  9,039;
1484; ITABIRITO - 345;;  8,655;;  8,655;  8,631;;;  8,631;
1483; ITABIRITO - 500;;  9,562;;  9,562;  9,538;;;  9,538;
1620; ITABIRA 4 - 230;;  8,690;;  8,690;  8,666;;;  8,666;
26513; ITABIRA 5 - 230;;  9,476;;  9,476;  9,452;;;  9,452;
26510; ITABIRA 5 - 500;; 10,057;; 10,057; 10,034;;; 10,034;
345; ITABUNA - 230;;  2,377;;  2,377;  5,178;;;  5,178;
913; ITACAIUNAS - 230;;  9,925;;  9,925;  9,901;;;  9,901;
912; ITACAIUNAS - 500;; 10,581;; 10,581; 10,558;;; 10,558;
213; ITAGIPA - 230;;  6,539;;  6,539;  6,515;;;  6,515;
4292; ITAGUACU - 230;; 11,397;; 11,397; 11,373;;; 11,373;
