CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
COPEL-DIS;2866;21;10135;UVNORT-PR138; U. VITORIA NORTE - 138;  8,060;  8,565;       ;       ;81,00;77,00
COPREL;2351;87;9675;CAL1-A-RS023; CRUZ ALTA 1 – 23;  7,237;  8,055;       ;       ;21,50;24,40
COPREL;2351;87;1333;PANAMB-RS013; PANAMBI – 13,8;  7,396;  8,222;       ;       ;14,50;14,93
COPREL;2351;87;1284;SMARTA-RS046; SANTA MARTA – 13,8;  8,064;  8,768;       ;       ; 2,00; 3,00
COPREL;2351;87;9921;VilaMari-138; VILA MARIA – 138;  7,935;  8,679;       ;       ;117,3;133,7
CPFL PAULISTA;63;7;2338;2CORRE-SP138; DOIS CORREGOS - 138;  8,377;  8,409;       ;       ;13,95;14,00
CPFL PAULISTA;63;7;2336;AMPAR1-SP138; AMPARO - 138;  8,463;  8,471;       ;       ;52,20;61,30
CPFL PAULISTA;63;7;2296;ARACAT-SP138; ARACATUBA - 138;  7,549;  7,443;       ;       ; 0,00; 0,00
CPFL PAULISTA;63;7;560;ARARAQ-SP138; ARARAQUARA CTP - 138;  7,931;  7,874;       ;       ;408,9;431,0
CPFL PAULISTA;63;7;2337;AUXILI-SP138; AUXILIADORA - 138;  8,818;  8,944;       ;       ;50,00;50,00
CPFL PAULISTA;63;7;479;BAGUAC-SP138; BAGUACU - 138;  7,549;  7,443;       ;       ;103,4;107,8
CPFL PAULISTA;63;7;633;BARIRI-SP138; BARIRI - 138;  8,139;  8,135;       ;       ;16,20;18,90
CPFL PAULISTA;63;7;562;BAURU--SP138; BAURU - 138;  8,024;  8,000;       ;       ;298,1;338,2
CPFL PAULISTA;63;7;3427;BBASSI-SP138; BADY BASSITT - 138;  7,587;  7,478;       ;       ;11,10;11,10
CPFL PAULISTA;63;7;635;BBONIT-SP138; BARRA BONITA - 138;  8,458;  8,512;       ;       ;41,40;36,20
