GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ASSURUA IV,0,0,0,9.313,9.602,9.762,9.769,9.933,9.979,9.98,9.96,9.940000000000001,9.920000000000002,9.900000000000002,9.880000000000003,9.860000000000003,9.840000000000003,9.820000000000004
EOL ASSURUA V,0,0,0,9.313,9.602,9.762,9.769,9.933,9.979,9.98,9.96,9.940000000000001,9.920000000000002,9.900000000000002,9.880000000000003,9.860000000000003,9.840000000000003,9.820000000000004
EOL ASSURUA VII,0,0,0,9.313,9.602,9.762,9.769,9.933,9.979,9.98,9.96,9.940000000000001,9.920000000000002,9.900000000000002,9.880000000000003,9.860000000000003,9.840000000000003,9.820000000000004
EOL ATLANTICA I,0,0,0,4.261,4.231,4.561,4.563,4.72,4.762,4.744,4.724,4.704000000000001,4.684000000000001,4.6640000000000015,4.644000000000002,4.624000000000002,4.604000000000003,4.584000000000003
EOL ATLANTICA II,0,0,0,4.261,4.231,4.561,4.563,4.72,4.762,4.744,4.724,4.704000000000001,4.684000000000001,4.6640000000000015,4.644000000000002,4.624000000000002,4.604000000000003,4.584000000000003
EOL ATLANTICA IV,0,0,0,4.261,4.231,4.561,4.563,4.72,4.762,4.744,4.724,4.704000000000001,4.684000000000001,4.6640000000000015,4.644000000000002,4.624000000000002,4.604000000000003,4.584000000000003
EOL ATLANTICA V,0,0,0,4.261,4.231,4.561,4.563,4.72,4.762,4.744,4.724,4.704000000000001,4.684000000000001,4.6640000000000015,4.644000000000002,4.624000000000002,4.604000000000003,4.584000000000003
EOL AURA CAETITE 01,0,0,0,10.144,9.419,9.885,9.827,10.244,10.26,10.295,10.275,10.255,10.235000000000001,10.215000000000002,10.195000000000002,10.175000000000002,10.155000000000003,10.135000000000003
EOL AURA CAETITE 02,0,0,0,10.144,9.419,9.885,9.827,10.244,10.26,10.295,10.275,10.255,10.235000000000001,10.215000000000002,10.195000000000002,10.175000000000002,10.155000000000003,10.135000000000003
EOL AURA CAETITE 03,0,0,0,10.144,9.419,9.885,9.827,10.244,10.26,10.295,10.275,10.255,10.235000000000001,10.215000000000002,10.195000000000002,10.175000000000002,10.155000000000003,10.135000000000003
EOL AURA CAETITE 04,0,0,0,10.144,9.419,9.885,9.827,10.244,10.26,10.295,10.275,10.255,10.235000000000001,10.215000000000002,10.195000000000002,10.175000000000002,10.155000000000003,10.135000000000003
EOL AURA LAGOA DO BARRO 01,0,0,0,11.204,11.336,11.438,11.472,11.507,11.535,11.567,11.547,11.527000000000001,11.507000000000001,11.487000000000002,11.467000000000002,11.447000000000003,11.427000000000003,11.407000000000004
EOL AURA LAGOA DO BARRO 02,0,0,0,11.204,11.336,11.438,11.472,11.507,11.535,11.567,11.547,11.527000000000001,11.507000000000001,11.487000000000002,11.467000000000002,11.447000000000003,11.427000000000003,11.407000000000004
EOL AURA LAGOA DO BARRO 03,0,0,0,11.204,11.336,11.438,11.472,11.507,11.535,11.567,11.547,11.527000000000001,11.507000000000001,11.487000000000002,11.467000000000002,11.447000000000003,11.427000000000003,11.407000000000004
EOL AURA LAGOA DO BARRO 04,0,0,0,11.204,11.336,11.438,11.472,11.507,11.535,11.567,11.547,11.527000000000001,11.507000000000001,11.487000000000002,11.467000000000002,11.447000000000003,11.427000000000003,11.407000000000004
EOL AURA LAGOA DO BARRO 05,0,0,0,11.204,11.336,11.438,11.472,11.507,11.535,11.567,11.547,11.527000000000001,11.507000000000001,11.487000000000002,11.467000000000002,11.447000000000003,11.427000000000003,11.407000000000004
EOL AURA LAGOA DO BARRO 06,0,0,0,11.204,11.336,11.438,11.472,11.507,11.535,11.567,11.547,11.527000000000001,11.507000000000001,11.487000000000002,11.467000000000002,11.447000000000003,11.427000000000003,11.407000000000004
