GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ATLANTICA I,0,5.5,6.409,5.655,4.974,5.201,5.194,5.361,5.376,5.384,5.364000000000001,5.344000000000001,5.324000000000002,5.304000000000002,5.2840000000000025,5.264000000000003,5.244000000000003,5.224000000000004
EOL ATLANTICA II,0,5.5,6.409,5.655,4.974,5.201,5.194,5.361,5.376,5.384,5.364000000000001,5.344000000000001,5.324000000000002,5.304000000000002,5.2840000000000025,5.264000000000003,5.244000000000003,5.224000000000004
EOL ATLANTICA IV,0,5.5,6.409,5.655,4.974,5.201,5.194,5.361,5.376,5.384,5.364000000000001,5.344000000000001,5.324000000000002,5.304000000000002,5.2840000000000025,5.264000000000003,5.244000000000003,5.224000000000004
EOL ATLANTICA V,0,5.5,6.409,5.655,4.974,5.201,5.194,5.361,5.376,5.384,5.364000000000001,5.344000000000001,5.324000000000002,5.304000000000002,5.2840000000000025,5.264000000000003,5.244000000000003,5.224000000000004
EOL AURA CAETITE 01,0,10.456,10.793,10.431,10.769,11.117,11.112,11.49,11.196,11.213,11.193,11.173,11.153,11.133000000000001,11.113000000000001,11.093000000000002,11.073000000000002,11.053000000000003
EOL AURA CAETITE 02,0,10.456,10.793,10.431,10.769,11.117,11.112,11.49,11.196,11.213,11.193,11.173,11.153,11.133000000000001,11.113000000000001,11.093000000000002,11.073000000000002,11.053000000000003
EOL AURA CAETITE 03,0,10.456,10.793,10.431,10.769,11.117,11.112,11.49,11.196,11.213,11.193,11.173,11.153,11.133000000000001,11.113000000000001,11.093000000000002,11.073000000000002,11.053000000000003
EOL AURA CAETITE 04,0,10.456,10.793,10.431,10.769,11.117,11.112,11.49,11.196,11.213,11.193,11.173,11.153,11.133000000000001,11.113000000000001,11.093000000000002,11.073000000000002,11.053000000000003
EOL AURA LAGOA DO BARRO 01,0,10.859,11.333,11.823,12.636,13.738,13.757,14.085,13.931,13.951,13.931000000000001,13.911000000000001,13.891000000000002,13.871000000000002,13.851000000000003,13.831000000000003,13.811000000000003,13.791000000000004
EOL AURA LAGOA DO BARRO 02,0,10.859,11.333,11.823,12.636,13.738,13.757,14.085,13.931,13.951,13.931000000000001,13.911000000000001,13.891000000000002,13.871000000000002,13.851000000000003,13.831000000000003,13.811000000000003,13.791000000000004
